Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"IJH","iShares Core S&P Mid-Cap ETF","196.24","-0.38","down","0.19","-3.38"
"IJJ","iShares S&P Mid-Cap 400 Value ETF","162.3593","-0.5607","down","0.34","-3.21"
"IJK","iShares S&P Mid-Cap 400 Growth ETF","227.609","0.079","up","0.03","-3.74"
"IJR","iShares Core S&P Small-Cap ETF","80.16","-0.11","down","0.14","-9.91"
"IJS","iShares S&P SmallCap 600 Value ETF","153.64","-0.43","down","0.28","-9.38"
"IJT","iShares S&P Small-Cap 600 Growth ETF","185.11","-0.21","down","0.11","-10.36"
"IMFP","Invesco Multi-Factor Core Plus Fixed Income ETF","26.45","0","unch","0","7.09"
"INAU","Innovation United States ETF","27.6696","0","unch","0","6.61"
"ISMD","Inspire Small/Mid Cap Impact ETF","27.01","-0.05","down","0.18","-9.03"
"ITA","iShares Trust","225.9301","0.2301","up","0.1","7.65"
"ITB","iShares Trust","42.41","0.34","up","0.81","11.18"
"ITOT","iShares Core S&P Total U.S. Stock Market ETF","68.31","0.26","up","0.38","2.33"
"IUS","Invesco RAFI Strategic US ETF","25.95","-0.04","down","0.15","3.5"
"IUSG","iShares Core S&P U.S. Growth ETF","63.9893","0.4193","up","0.66","3.48"
"IUSS","Invesco RAFI Strategic US Small Company ETF","23.86","0.04","up","0.17","-5.48"
"IUSV","iShares Core S&P U.S. Value ETF","58.62","0.01","up","0.02","3.68"
"IVE","iShares S&P 500 Value ETF","120.81","0.11","up","0.09","3.9"
"IVOG","Vanguard S&P Mid-Cap 400 Growth ETF","141.22","0.0351","up","0.02","-3.44"
"IVOO","Vanguard S&P Mid-Cap 400 ETF","132.64","-0.24","down","0.18","-3.28"
"IVOV","Vanguard S&P Mid-Cap 400 Value ETF","124","-1.08","down","0.86","-3.12"
"IVV","iShares Core S&P 500 ETF","303.1981","1.0781","up","0.36","3.74"
"IVW","iShares S&P 500 Growth ETF","183.1025","1.2625","up","0.69","3.96"
"IWB","iShares Russell 1000 ETF","167.126","0.536","up","0.32","3.37"
"IWC","iShares Microcap ETF","91.96","-0.6601","down","0.71","-13.92"
"IWD","iShares Russell 1000 Value ETF","130.03","0.1","up","0.08","2.37"
"IWF","iShares Russell 1000 Growth ETF","162.64","1.05","up","0.65","4.58"
"IWL","iShares Russell Top 200 ETF","70.05","0.3562","up","0.51","4.04"
"IWM","iShares Russell 2000 ETF","156.72","-0.28","down","0.18","-8.2"
"IWN","iShares Russell 2000 Value ETF","122.57","-0.32","down","0.26","-8.96"
"IWO","iShares Russell 2000 Growth ETF","201.31","-0.02","down","0.01","-7.73"
"IWP","iShares Russell Midcap Growth ETF","143.911","0.611","up","0.43","5.01"
"IWR","iShares Russell Mid-Cap ETF","56.7","0.06","up","0.11","1.84"
"IWS","iShares Russell Mid-cap Value ETF","90.62","-0.16","down","0.18","-0.38"
"IWV","iShares Russell 3000 ETF","176.4133","0.2833","up","0.16","2.42"
"IWX","iShares Russell Top 200 Value ETF","55.61","0.1725","up","0.31","3.76"
"IWY","iShares Russell Top 200 Growth ETF","88.7606","0.6706","up","0.76","4.61"
"IYC","iShares U.S. Consumer Services ETF","224.2191","0.6491","up","0.29","6.29"
"IYE","iShares U.S. Energy ETF","32.5","-0.26","down","0.79","-19.13"
"IYF","iShares U.S. Financial ETF","129.27","0.42","up","0.33","3.89"
"IYG","iShares U.S. Financial Services ETF","137.81","0.27","up","0.2","0.23"
"IYH","iShares U.S. Healthcare ETF","193.26","0.48","up","0.25","-2.1"
"IYJ","iShares Trust","160.48","-0.04","down","0.02","3.14"
"IYK","iShares U.S. Consumer Goods ETF","126.93","0.5955","up","0.47","5.8"
"IYM","iShares U.S. Basic Materials ETF","93.2332","0.2932","up","0.32","-7.33"
"IYR","iShares U.S. Real Estate ETF","92.52","0.35","up","0.38","11.94"
"IYT","iShares Trust","192.89","-1.14","down","0.59","-6.61"
"IYW","iShares U.S. Technology ETF","208.24","1.22","up","0.59","8"
"IYY","iShares Dow Jones U.S. ETF","149.7905","0.5282","up","0.35","2.94"
"IYZ","iShares Trust","29.81","-0.05","down","0.17","0.98"
"JDIV","JPMorgan U.S. Dividend ETF","27.15","0.0456","up","0.17","1.67"
"JHCS","John Hancock Multifactor Media and Communications ETF","27.3824","0","unch","0","9.27"
"JHMA","John Hancock Multifactor Materials ETF","32.8547","0.0493","up","0.15","-3.74"
"JHMC","John Hancock Multifactor Consumer Discretionary ETF","34.3356","0.1333","up","0.39","3.38"
"JHME","John Hancock Multifactor Energy ETF","23.29","-0.3205","down","1.36","-23.81"
"JHMF","John Hancock Multifactor Financials ETF","38.613","0.0704","up","0.18","1.62"
"JHMH","John Hancock Multifactor Healthcare ETF","33.715","0.0903","up","0.27","-3.74"
"JHMI","John Hancock Multifactor Industrials ETF","37.91","0.1519","up","0.4","1.28"
"JHML","John Hancock Multifactor Large Cap ETF","38.7673","0.1073","up","0.28","3.54"
"JHMM","John Hancock Multifactor Mid Cap ETF","37.1141","0.0341","up","0.09","1.23"
"JHMS","John Hancock Multifactor Consumer Staples ETF","29.1905","0.1179","up","0.41","6.77"
"JHMT","John Hancock Multifactor Technology ETF","51.04","0.1774","up","0.35","7.74"
"JHMU","John Hancock Multifactor Utilities ETF","33.7434","0.1011","up","0.3","16.21"
"JHSC","John Hancock Multifactor Small Cap ETF","26.55","-0.105","down","0.39","-5.81"
"JKD","iShares Morningstar Large-Cap ETF","170.4666","0.4672","up","0.27","1.51"
"JKE","iShares Morningstar Large-Cap Growth ETF","195.2615","1.4116","up","0.73","5.98"
"JKF","iShares Morningstar Large-Cap  Value ETF","111.41","0.0333","up","0.03","3.71"
"JKG","iShares Morningstar Mid-Cap ETF","199.6943","0.1932","up","0.1","4.07"
"JKH","iShares Morningstar Mid-Cap Growth ETF","246.6001","0.9262","up","0.38","4.1"
"JKI","iShares Morningstar Mid-Cap ETF","162.3","-0.0804","down","0.05","-0.96"
"JKJ","iShares Morningstar Small-Cap ETF","178.98","0.16","up","0.09","-2.62"
"JKK","iShares Morningstar Small-Cap Growth ETF","205.1396","1.1984","up","0.59","-5.29"
"JKL","iShares Morningstar Small-Cap Value ETFnd","136.7","-0.952","down","0.69","-11.99"
"JMIN","JPMorgan U.S. Minimum Volatility ETF","30.1699","0.126","up","0.42","9.61"
"JMOM","JPMorgan U.S. Momentum Factor ETF","29.19","0.16","up","0.55","2.58"
"JPLS","JPMorgan Long/Short ETF","21.5217","0","unch","0","-3.79"
"JPME","JPMorgan Diversified Return U.S. Mid Cap Equity ETF","67.61","0.1685","up","0.25","-0.47"
"JPSE","JPMorgan Diversified Return U.S. Small Cap Equity ETF","31.09","-0.03","down","0.1","-6.1"
"JQUA","JPMorgan U.S. Quality Factor ETF","29.6011","0","unch","0","4.93"
"JSMD","Janus Henderson Small/Mid Cap Growth Alpha ETF","45.13","0.25","up","0.56","-4.65"
"JSML","Janus Henderson Small Cap Growth Alpha ETF","43.5093","1.2833","up","3.04","-8.36"
"JUST","Goldman Sachs JUST U.S. Large Cap Equity ETF","43.3878","0.2978","up","0.69","2.86"
"JVAL","JPMorgan U.S. Value Factor ETF","27.21","-0.02","down","0.07","1.26"
"KBE","SPDR S&P Bank ETF","43.85","-0.12","down","0.27","-11.15"
"KBWD","Invesco KBW High Dividend Yield Financial ETF","20.9531","-0.0746","down","0.35","-10.75"
"KBWY","Invesco KBW Premium Yield Equity REIT ETF","31.26","-0.18","down","0.57","-9.99"
"KCE","SPDR S&P Capital Markets ETF","56.72","-0.1114","down","0.2","-1.83"
"KIE","SPDR S&P Insurance ETF","34.77","-0.03","down","0.09","9.23"
"KLCD","KFA Large Cap Quality Dividend Index ETF","26.284","0.1134","up","0.43","4.25"
"KNAB","Bank Of Montreal","46.0861","0","unch","0","-7.23"
"KNG","ETF Series Solutions","44.82","0.1998","up","0.45","3.6"
"KNOW","Direxion All Cap Insider Sentiment Shares","38.8837","-0.0822","down","0.21","-8.57"
"KOL","VanEck Vectors Coal ETF","11.9409","-0.1091","down","0.91","-19.83"
"KRE","SPDR S&P Regional Banking ETF","53.72","-0.16","down","0.3","-14.87"
"KRMA","Global X Conscious Companies ETF","22.34","0.0287","up","0.13","5.29"
"KSCD","KFA Small Cap Quality Dividend Index ETF","25.8","0.0076","up","0.03","2.48"
"LEAD","Reality Shares ETF Trust","36.0894","0.169","up","0.47","4.57"
"LFEQ","VanEck Vectors NDR CMG Long/Flat Allocation ETF","28.29","0.091","up","0.32","0.75"
"LNGR","Global X Longevity Thematic ETF","21.17","0","unch","0","-3.41"
"LRGE","ClearBridge Large Cap Growth ESG ETF","35.53","0.21","up","0.59","5.62"
"LRGF","iShares Edge MSCI Multifactor USA ETF","32.49","-0.02","down","0.06","-3.42"
